,Country,City,Latitude,Longitude,Temp,Humidity,Cloudiness,Windspeed,Fahrenheit,wind_mph,equator_distance
920,au,port hedland,-20.312148999999998,118.61058799999999,303.28,60,92,0.7,86.50399999999996,1.565858,20.312148999999998
27643,ph,cabaluay,7.00033,122.17850200000001,299.601,100,44,0.3,79.8818,0.6710820000000001,7.00033
39959,sv,san agustin,13.433333300000001,-88.6,297.42,37,12,3.0,75.95600000000003,6.71082,13.433333300000001
17938,in,jagdispur,25.483333,84.416667,287.801,85,8,2.05,58.641799999999975,4.585727,25.483333
44632,us,trenton,40.216944399999996,-74.7433333,276.64,53,0,3.85,38.55199999999998,8.612219000000001,40.216944399999996
35620,ru,chernyakhovsk,54.63345,21.815566,276.001,90,88,6.8,37.40179999999996,15.211192,54.63345
34399,ro,surdila-gaiseanca,45.066666999999995,27.333333000000003,272.301,96,0,2.9,30.741799999999976,6.487126,45.066666999999995
36695,ru,kurchanskaya,45.198333,37.507222,277.82,96,92,5.45,40.67599999999999,12.191323,45.198333
7685,cu,ciego de avila,21.84,-78.7619444,299.53,80,44,1.15,79.75399999999996,2.572481,21.84
14878,hn,el perico,15.083333300000001,-88.1,295.33,93,100,1.15,72.19399999999997,2.572481,15.083333300000001
4974,ca,saint-tite,46.716667,-72.56666700000001,270.901,57,80,2.45,28.22180000000002,5.480503000000001,46.716667
9562,de,ruthen,51.483333,8.45,279.21,95,92,9.75,43.17799999999996,21.810165,51.483333
31390,pl,ustron,49.721526000000004,18.801983,274.751,80,0,6.0,35.15179999999996,13.42164,49.721526000000004
39699,sk,stropkov,49.2,21.65,272.93,100,80,3.85,31.874000000000013,8.612219000000001,49.2
35076,ru,aginskoye,55.2586,94.9079,263.151,66,0,6.1,14.271800000000017,13.645334,55.2586
41338,ua,kazanka,47.846249,32.821771000000005,276.45,96,92,6.1,38.20999999999998,13.645334,47.846249
20282,it,castiglion fiorentino,43.333333,11.916667,275.3,100,24,1.7,36.14000000000002,3.802798,43.333333
15968,hu,sarosd,47.042730999999996,18.643569,276.651,92,0,5.8,38.57180000000002,12.974252,47.042730999999996
15699,hu,kevermes,46.416667,21.183332999999998,274.301,87,0,3.75,34.34179999999998,8.388525000000001,46.416667
