Date,UserName,Compound
2017-12-01,CNNMoney,0.0516
2017-12-01,WSJ Markets,0.0258
2017-12-01,CNBC,-0.5334
2017-12-01,CNBC,0.4404
2017-12-01,Financial Times,0.128
2017-12-01,CNNMoney,-0.1531
2017-12-01,CNBC,0.5106
2017-12-01,WSJ Markets,0.4588
2017-12-01,Financial Times,0.1531
2017-12-01,Bloomberg Markets,0.5994
2017-12-01,CNNMoney,0.3612
2017-12-01,Justin Wolfers,0.9152
2017-12-01,Financial Times,0.6705
2017-12-01,Justin Wolfers,0.4748
2017-12-01,CNBC,0.4215
2017-12-01,Paul Krugman,-0.4215
2017-12-01,Bloomberg Markets,-0.2732
2017-12-01,CNBC,-0.296
2017-12-01,Financial Times,0.0258
2017-12-01,CNNMoney,0.6908
2017-12-01,Financial Times,0.3818
2017-12-01,WSJ Markets,0.4215
2017-12-01,Bloomberg Markets,0.4404
2017-12-01,Justin Wolfers,0.3612
2017-12-01,CNBC,0.1114
2017-12-01,WSJ Markets,0.3612
2017-12-01,Jim Cramer,-0.1877
2017-12-01,Jim Cramer,0.1027
2017-12-01,WSJ Markets,0.25
2017-12-01,CNBC,0.4215
2017-12-01,CNBC,0.1779
2017-12-01,CNBC,0.6369
2017-12-01,WSJ Markets,0.3612
2017-12-01,CNNMoney,-0.1027
2017-12-01,WSJ Markets,0.0772
2017-12-01,Bloomberg Markets,-0.1531
2017-12-01,CNNMoney,-0.5423
2017-12-01,WSJ Markets,0.7783
2017-12-01,CNBC,-0.6808
2017-12-01,Financial Times,0.4019
2017-12-01,CNNMoney,-0.7906
2017-12-01,Bloomberg Markets,-0.4404
2017-12-01,CNBC,0.4019
2017-12-01,Financial Times,0.6369
2017-12-01,Financial Times,-0.1027
2017-12-01,Financial Times,0.1779
2017-12-01,CNNMoney,0.2023
2017-12-01,CNBC,-0.2732
2017-12-01,CNBC,0.1779
2017-12-01,WSJ Markets,0.4588
2017-12-01,Bloomberg Markets,0.2023
2017-12-01,CNNMoney,0.4588
2017-12-01,CNBC,0.5777
2017-12-01,Financial Times,-0.0516
2017-12-01,CNBC,0.4019
2017-12-01,CNBC,-0.3818
2017-12-01,CNBC,0.3612
2017-12-01,Bloomberg Markets,-0.6542
2017-12-01,WSJ Markets,-0.4215
2017-12-01,Bloomberg Markets,0.6361
2017-12-01,CNBC,0.5927
2017-12-01,CNNMoney,0.6249
2017-12-01,WSJ Markets,0.7783
2017-12-01,Bloomberg Markets,-0.296
2017-12-01,Financial Times,-0.8519
2017-12-01,WSJ Markets,0.25
2017-12-01,Financial Times,0.1531
2017-12-01,CNBC,0.1027
2017-12-01,CNBC,-0.2732
2017-12-01,CNBC,0.6124
2017-12-01,CNNMoney,-0.4019
2017-12-01,CNNMoney,0.3818
2017-12-01,Financial Times,-0.1027
2017-12-01,Financial Times,0.7783
2017-12-01,Bloomberg Markets,-0.2732
2017-12-01,Jim Cramer,-0.1254
2017-12-01,Jim Cramer,-0.4215
2017-12-01,Jim Cramer,0.4926
2017-12-01,CNNMoney,0.3415
2017-12-01,Financial Times,-0.3182
2017-12-01,Financial Times,0.6858
2017-12-01,Financial Times,-0.34
2017-12-01,Bloomberg Markets,0.3182
2017-12-01,CNBC,-0.2732
2017-12-01,Bloomberg Markets,-0.296
2017-12-01,Financial Times,-0.3612
2017-12-01,Financial Times,0.5106
2017-12-01,Bloomberg Markets,-0.2292
2017-12-01,CNBC,-0.0516
2017-12-01,Financial Times,0.3612
2017-12-01,WSJ Markets,0.3612
2017-12-01,CNBC,0.4019
2017-12-01,CNNMoney,0.5719
2017-12-01,WSJ Markets,0.128
2017-12-01,Financial Times,-0.5423
2017-12-01,WSJ Markets,-0.5927
2017-12-01,Jim Cramer,-0.296
2017-12-01,Bloomberg Markets,-0.5267
2017-12-01,WSJ Markets,0.5106
2017-12-01,Financial Times,0.5106
2017-12-01,WSJ Markets,0.3612
2017-12-01,Financial Times,0.6369
2017-12-01,WSJ Markets,0.4404
2017-12-01,Financial Times,0.6369
2017-12-01,CNBC,0.4404
2017-12-01,CNBC,0.25
2017-12-01,Bloomberg Markets,0.2023
2017-12-01,Financial Times,-0.6249
2017-12-01,Financial Times,0.3818
2017-12-01,Financial Times,0.5106
2017-12-01,CNBC,0.296
2017-12-01,WSJ Markets,-0.296
2017-12-01,The Motley Fool,0.3612
2017-12-01,Financial Times,-0.2023
2017-12-01,Financial Times,-0.296
2017-12-01,Financial Times,0.0772
2017-12-01,WSJ Markets,0.1655
2017-12-01,Bloomberg Markets,-0.3818
2017-12-01,Financial Times,0.3182
2017-12-01,CNBC,0.6705
2017-12-01,WSJ Markets,0.5707
2017-12-01,Jim Cramer,0.0772
2017-12-01,Bloomberg Markets,-0.3612
2017-12-01,CNBC,0.4588
2017-12-01,Bloomberg Markets,0.1027
2017-12-01,Financial Times,0.2023
2017-12-01,CNBC,0.6249
2017-12-01,CNBC,0.4019
2017-12-01,CNBC,0.6249
2017-12-01,CNNMoney,-0.4215
2017-12-01,CNBC,0.1531
2017-12-01,Jim Cramer,0.6249
2017-12-01,CNBC,-0.7351
2017-12-01,CNBC,-0.2732
2017-12-01,Jim Cramer,0.25
2017-12-01,WSJ Markets,0.0572
2017-12-01,Paul Krugman,0.0258
2017-12-01,Financial Times,-0.6369
2017-12-01,Paul Krugman,0.7506
2017-12-01,CNBC,0.0772
2017-12-01,Financial Times,0.2023
2017-12-01,CNNMoney,0.5859
2017-12-01,Financial Times,0.7402
2017-12-01,Justin Wolfers,-0.6908
2017-12-01,CNBC,-0.4588
2017-12-01,CNBC,0.5106
2017-12-01,CNBC,-0.4019
2017-12-01,CNBC,0.5574
2017-12-01,Financial Times,-0.2732
2017-12-01,CNBC,-0.1531
2017-12-01,CNBC,0.296
2017-12-01,The Motley Fool,0.4404
2017-12-01,Bloomberg Markets,0.1027
2017-12-01,Bloomberg Markets,0.1531
2017-12-01,CNBC,0.4019
2017-12-01,CNBC,-0.296
2017-12-01,WSJ Markets,0.6908
2017-12-01,CNBC,-0.5423
2017-12-01,CNBC,0.128
2017-12-01,Financial Times,-0.6369
2017-12-01,CNBC,0.4215
2017-12-01,Justin Wolfers,-0.7236
2017-12-01,CNBC,0.4939
2017-12-01,CNBC,0.4588
2017-12-01,Financial Times,0.2975
2017-12-01,Financial Times,0.6486
2017-12-01,Financial Times,-0.0516
2017-12-01,CNBC,-0.5423
2017-12-01,Jim Cramer,0.4199
2017-12-01,Financial Times,-0.4767
2017-12-01,Jim Cramer,-0.1759
2017-12-01,CNBC,0.2584
2017-12-01,Jim Cramer,0.6249
2017-12-01,CNBC,0.4019
2017-12-01,WSJ Markets,-0.4215
2017-12-01,CNBC,0.3182
2017-12-01,Paul Krugman,0.3634
2017-12-01,CNNMoney,0.4019
2017-12-01,WSJ Markets,0.0772
2017-12-01,CNBC,0.4939
2017-12-01,Financial Times,0.4019
2017-12-01,Financial Times,0.4019
2017-12-01,Financial Times,-0.2732
2017-12-01,CNBC,-0.3818
2017-12-01,CNNMoney,0.2263
2017-12-01,CNBC,-0.4588
2017-12-01,CNBC,0.128
2017-12-01,Bloomberg Markets,0.0772
2017-12-01,CNBC,0.6369
2017-12-01,CNBC,-0.4215
2017-12-01,CNBC,-0.0772
2017-12-01,CNBC,0.0734
2017-12-01,Financial Times,0.2732
2017-12-01,The Motley Fool,0.4019
2017-12-01,CNBC,-0.5574
2017-12-01,CNBC,-0.5859
2017-12-01,Financial Times,-0.4404
2017-12-01,CNBC,-0.8658
2017-12-01,CNBC,-0.3612
2017-12-01,CNNMoney,0.2263
2017-12-01,Financial Times,-0.8225
2017-12-01,CNBC,0.1263
2017-12-01,CNBC,0.6249
2017-12-01,Paul Krugman,0.7096
2017-12-01,Paul Krugman,-0.8171
2017-12-01,Paul Krugman,-0.5423
2017-12-01,Paul Krugman,-0.2732
2017-12-01,CNBC,-0.0772
2017-12-01,Financial Times,-0.4215
2017-12-01,WSJ Markets,-0.4588
2017-12-01,CNBC,-0.1779
2017-12-01,Financial Times,-0.128
2017-12-01,WSJ Markets,0.5707
2017-12-01,Financial Times,-0.296
2017-12-01,Justin Wolfers,0.6808
2017-12-01,CNBC,0.1531
2017-12-01,Jim Cramer,0.0772
2017-12-01,Financial Times,-0.4767
2017-12-01,The Motley Fool,0.8225
2017-12-01,WSJ Markets,0.4019
2017-12-01,CNBC,0.1531
2017-12-01,CNBC,0.0754
2017-12-01,WSJ Markets,0.3818
2017-12-01,CNBC,0.8807
2017-12-01,Bloomberg Markets,-0.1027
2017-12-01,CNBC,0.6486
2017-12-01,WSJ Markets,-0.1027
2017-12-01,WSJ Markets,0.3612
2017-12-01,CNNMoney,0.3818
2017-12-01,WSJ Markets,-0.4019
2017-12-01,CNBC,0.8176
2017-12-01,CNBC,0.34
2017-12-01,CNBC,0.3818
2017-12-01,WSJ Markets,-0.3818
2017-12-01,Financial Times,-0.4019
2017-12-01,CNBC,-0.1779
2017-12-01,WSJ Markets,-0.5719
2017-12-01,Financial Times,0.34
2017-12-01,Bloomberg Markets,0.4588
2017-12-01,CNNMoney,0.3898
2017-12-01,CNBC,-0.296
2017-12-01,WSJ Markets,0.0572
2017-12-01,Financial Times,0.4215
2017-12-01,Bloomberg Markets,0.4588
2017-12-01,CNBC,-0.7351
2017-12-01,WSJ Markets,0.34
2017-12-01,CNBC,-0.4215
2017-12-01,CNBC,0.0754
2017-12-01,CNNMoney,-0.7506
2017-12-01,Paul Krugman,-0.3658
2017-12-01,Financial Times,-0.7351
2017-12-01,Financial Times,-0.4215
2017-12-01,Bloomberg Markets,-0.1531
2017-12-01,CNBC,0.6249
2017-12-01,CNBC,-0.6908
2017-12-01,CNBC,-0.5423
2017-12-01,Jim Cramer,-0.5106
2017-12-01,WSJ Markets,0.0772
2017-12-01,CNBC,0.6908
2017-12-01,Paul Krugman,0.5994
2017-12-01,CNNMoney,0.6801
2017-12-01,CNBC,0.1154
2017-12-01,CNNMoney,-0.1139
2017-12-01,CNBC,-0.1531
2017-12-01,The Motley Fool,0.69
2017-12-01,Financial Times,0.5267
2017-12-01,CNBC,-0.2212
2017-12-01,Bloomberg Markets,0.5106
2017-12-01,CNNMoney,0.5859
2017-12-01,WSJ Markets,-0.3818
2017-12-01,CNNMoney,-0.5267
