,Motley Fool Sentiment,Jim Cramer Sentiment,Paul Krugman Sentiment,Justin Wolfers Sentiment,Bloomberg Sentiment,Fin Times Sentiment,CNBC Sentiment,WSJ Sentiment,CNN Sentiment,Daily RUT,Daily DJI,Daily GSPC,Daily IXIC,Daily GDAXI,Daily XAX,prior motley,prior jim,prior paul,prior justin,prior bloomberg,prior ft,prior cnbc,prior wsj,prior cnn,target dow,target nasdaq,target nyse,target dow prior,target nasdaq prior,target nyse prior
Motley Fool Sentiment,1.0,0.42924322315604035,-0.2727708760195843,-0.3952995396830938,0.14980493327725383,-0.42087056374592074,-0.09049054494035022,-0.4108620253925853,0.4226864171351955,-0.4055924675594682,-0.21190712724895105,-0.35428184640893284,-0.6651380928930084,0.39494135044694967,-0.5682037213587918,0.284240962226435,0.15643527554657732,-0.059612437182644626,-0.429724510661082,0.30907466242388576,-0.41913668182570807,-0.3544728827356847,-0.5729575069590431,0.10583562271298427,-0.4533620413998466,-0.809420942124234,0.5230660999437406,-0.03307717864814674,-0.40144943688160317,0.1973895671074789
Jim Cramer Sentiment,0.42924322315604035,1.0,0.2792703785891303,-0.05790186199156154,0.284276701706701,-0.46909719257873284,-0.5282257880032358,-0.19964534518531515,0.7567944439245493,-0.2897202158131444,-0.3707266630979105,-0.6171846532148979,-0.6302354233908168,0.13177323279195333,0.020092699372230946,0.06201458516226488,-0.2995263482357895,0.08570189381765837,0.31633551312479535,-0.2955756181037672,0.19402385702540584,0.18000627569080316,-0.07857535875937993,0.2614196253580788,-0.4144139036684632,-0.37499329281961735,0.8887807494440254,0.17412254254703793,-0.12468294104794671,-0.07965406796013016
Paul Krugman Sentiment,-0.2727708760195843,0.2792703785891303,1.0,0.06781030477991669,0.02522448502624187,0.37318201796378525,-0.19834814843921478,0.06097965603944151,0.18884045317947565,0.5169269058187297,0.4287408157026136,-0.019662507719224946,-0.18747695610025364,0.2419984165358066,0.6390093172420964,0.24123922337472362,-0.21268609226714696,-0.11479536738048968,0.8118317715560113,-0.2130687272823779,0.2581684678262591,0.4815630483626055,0.2616283683958626,0.20316282563411173,0.3164651401708568,0.10184905957789471,0.3068845483483189,0.38707999218015476,0.2970582525128056,-0.22347682116564063
Justin Wolfers Sentiment,-0.3952995396830938,-0.05790186199156154,0.06781030477991669,1.0,-0.30637942717412575,0.37714224051329176,0.389643040727946,0.47268852496637964,0.08553598245931651,0.23723579933839772,0.27457646231989336,0.12961480278340956,0.325229624648867,-0.44968169562777344,0.2763877148229854,-0.5251599055757387,-0.48653308509746185,-0.09206841002248538,0.39127850867228176,-0.28782578579858653,0.38672839359732536,0.4863115507380376,-0.01265136921809918,-0.7935727232511585,0.3582671026323069,0.6984558503563761,-0.11763474892212175,0.2987010201404105,0.43206047815286747,-0.18364370747902387
Bloomberg Sentiment,0.14980493327725383,0.284276701706701,0.02522448502624187,-0.30637942717412575,1.0,-0.3132675296423631,0.12324732622428952,-0.6265386488629836,0.2281866816715355,-0.44829428805986227,0.014884485589677393,-0.03015210660158755,-0.5038262245112031,0.49597246737354345,0.39368480357330277,-0.42016322767022884,-0.1681070813831754,0.5702255014712316,0.2767187183177178,-0.17103708364005663,0.3422842662418897,-0.25275974271596346,0.5050972058389992,0.15202912544430022,0.3978455239752179,-0.07498355877807378,0.1395566709162001,0.3396566579899378,0.447489077229668,-0.375769786498602
Fin Times Sentiment,-0.42087056374592074,-0.46909719257873284,0.37318201796378525,0.37714224051329176,-0.3132675296423631,1.0,0.6435685005403593,0.41326063929416146,-0.18527870044381964,0.3006950369180216,0.3570716305819637,0.17751712311943163,0.3012373501674173,-0.15196199705205216,0.34429142122387996,-0.09890993163654345,0.3363892947558784,0.049822632147547945,0.4149976232121453,0.07832147496210919,-0.2471513849840329,-0.034790733974898846,-0.052110824980423125,-0.2868943238759656,0.5576063179664951,0.3455728422502095,-0.4320554441316793,0.057490842883243395,0.3865692565106056,0.34594004369607234
CNBC Sentiment,-0.09049054494035022,-0.5282257880032358,-0.19834814843921478,0.389643040727946,0.12324732622428952,0.6435685005403593,1.0,-0.049560659255456635,-0.13996183159155481,-0.23548082419601846,0.22484550197238404,0.13430253503626086,0.04491964308106771,-0.09441150823210162,0.07644147520842574,-0.4680230005562986,0.24405177094185834,0.43546800066013247,0.05591923362345315,0.22653591487787644,-0.0559700209502551,-0.2435707419081004,-0.13104234229123057,-0.5452559274484661,0.6757798858953398,0.23880671132984815,-0.45894511344622835,0.2714324167574234,0.4572559661217808,0.22127390750538467
WSJ Sentiment,-0.4108620253925853,-0.19964534518531515,0.06097965603944151,0.47268852496637964,-0.6265386488629836,0.41326063929416146,-0.049560659255456635,1.0,0.04514076028762308,0.5762319764826968,0.253217566699291,0.35772036243637967,0.5419702507625395,-0.11140730525579626,0.15300853703796125,0.061599166245456305,0.07535585885455018,-0.5096235886101339,0.19995051564445945,-0.5436315958772757,-0.22022147049141863,-0.06994634739581566,0.1722527130801229,-0.22588351379722968,-0.13656863458787075,0.5186007681243369,-0.43518355521308855,-0.6142290333024488,-0.0630500259985634,0.22357595415366863
CNN Sentiment,0.4226864171351955,0.7567944439245493,0.18884045317947565,0.08553598245931651,0.2281866816715355,-0.18527870044381964,-0.13996183159155481,0.04514076028762308,1.0,-0.31831971438122525,-0.24362287955561246,-0.5772949374699848,-0.76887593775775,0.3228972011688128,-0.07903478212797589,0.18078232967314403,0.05977903214278788,0.2804835295524863,0.33530741424681787,-0.5502518510015848,0.19314998890243879,-0.13463631515414354,-0.03742068026255682,0.23231457747574275,-0.32545011661879514,-0.34293394069974786,0.6030075327542775,-0.03294239888971209,-0.24679820525067134,0.2821606840187392
Daily RUT,-0.4055924675594682,-0.2897202158131444,0.5169269058187297,0.23723579933839772,-0.44829428805986227,0.3006950369180216,-0.23548082419601846,0.5762319764826968,-0.31831971438122525,1.0,0.7764255827164255,0.6936680548410318,0.49950063018298313,0.19855716084563388,0.4703094613506576,0.2044471594500359,-0.32675502344452395,-0.7807198728677651,0.3456701139238368,-0.2466351752601421,-0.019599400948964098,0.36111271296534975,0.3171734707524816,-0.19310934051155668,0.18718216195148585,0.4862053208884677,-0.3333589269989715,-0.12428440351752627,0.18478770381234697,-0.3932699781699689
