,fullname,id,likes,replies,retweets,text,timestamp,url,user,Compound,date
0,Jim Cramer,9.36426E+17,13,3,3,Because the companies that  produce nickel are not pure plays. They produce other minerals that aren't doing that well...https://twitter.com/thomascrowno69/status/936415568101552128 …,12/1/17 2:47,/jimcramer/status/936426401837780993,jimcramer,-0.1877,12/1/17
1,Jim Cramer,9.36428E+17,17,8,0,Depends on the fine details but i think it will spur some investment but some stock are ahead of themselves.https://twitter.com/JeffreyBell16/status/936365548996308992 …,12/1/17 2:51,/jimcramer/status/936427631255457792,jimcramer,0.1027,12/1/17
2,Jim Cramer,9.36519E+17,41,10,3,you have done well but remember day trading is a very hard business.. All i ask is that you keep your options open.https://twitter.com/MaverickCindy/status/936448330787258374 …,12/1/17 8:55,/jimcramer/status/936519024053248000,jimcramer,-0.1254,12/1/17
3,Jim Cramer,9.36519E+17,163,44,27,"Remember, as i said on @MadMoneyOnCNBC if this bill fails you will see 500 Dow points come off so we have to stay close to this...",12/1/17 8:56,/jimcramer/status/936519395270111232,jimcramer,-0.4215,12/1/17
4,Jim Cramer,9.3652E+17,11,3,0,Thanks much! I will tell the team...https://twitter.com/larryw1000/status/936509878230589440 …,12/1/17 8:57,/jimcramer/status/936519511821430784,jimcramer,0.4926,12/1/17
5,Jim Cramer,9.36561E+17,39,7,2,No and Nohttps://twitter.com/divtel/status/936549883963731968 …,12/1/17 11:41,/jimcramer/status/936560820254887936,jimcramer,-0.296,12/1/17
6,Jim Cramer,9.36593E+17,32,2,7,"Buy them if they come down, Number one is $LMT, 2 is $RTNhttps://twitter.com/LocalPro/status/936587564080709632 …",12/1/17 13:48,/jimcramer/status/936592732499464193,jimcramer,0.0772,12/1/17
7,Jim Cramer,9.36596E+17,41,10,6,totallyhttps://twitter.com/Tsutaemon/status/936595941183725568 …,12/1/17 14:01,/jimcramer/status/936596033617920001,jimcramer,0,12/1/17
8,Jim Cramer,9.366E+17,20,5,3,$USB is a great bank...how's that?https://twitter.com/MattBell2796/status/936598171907698688 …,12/1/17 14:17,/jimcramer/status/936600104462635009,jimcramer,0.6249,12/1/17
9,Jim Cramer,9.36601E+17,9,0,2,Market Recon from Sargehttps://twitter.com/TSTRealMoney/status/936578149256536064 …,12/1/17 14:19,/jimcramer/status/936600646723293188,jimcramer,0,12/1/17
10,Jim Cramer,9.36602E+17,10,1,1,Advanced Micro Devices doesn't appear too chipper right now -Kamichhttps://twitter.com/TSTRealMoney/status/936590366970560512 …,12/1/17 14:24,/jimcramer/status/936601935418978304,jimcramer,0.25,12/1/17
11,Jim Cramer,9.36602E+17,7,0,4,Read my #DealEconomy speech for answershttps://twitter.com/ctvader/status/936602307596378114 …,12/1/17 14:26,/jimcramer/status/936602496117694464,jimcramer,0,12/1/17
12,Jim Cramer,9.36618E+17,9,3,4,"Kamich: Micron Technology sells off quickly, and that's a concern.http://bit.ly/2ixaDOh ",12/1/17 15:27,/jimcramer/status/936617849635983360,jimcramer,0,12/1/17
13,Jim Cramer,9.36624E+17,8,0,1,"Thank you, Joe!https://twitter.com/JoeLoBello/status/936608687313031168 …",12/1/17 15:53,/jimcramer/status/936624357593571329,jimcramer,0.4199,12/1/17
14,Jim Cramer,9.36625E+17,19,1,2,"No woulda, shoulda, coulda, let's fine the next one! https://twitter.com/DSmith39/status/936605154379485184 …",12/1/17 15:54,/jimcramer/status/936624661139480576,jimcramer,-0.1759,12/1/17
15,Jim Cramer,9.36625E+17,17,3,1,F-150 has great marginshttps://twitter.com/bgtennisnation/status/936602963304505344 …,12/1/17 15:55,/jimcramer/status/936624836650127361,jimcramer,0.6249,12/1/17
16,Jim Cramer,9.36625E+17,28,8,12,we need to know thishttps://twitter.com/ScottWapnerCNBC/status/936624821919797251 …,12/1/17 15:55,/jimcramer/status/936624920875937795,jimcramer,0,12/1/17
17,Jim Cramer,9.36654E+17,16,5,0,Applied Materials stock is diving: Kamichhttp://bit.ly/2AzX87c ,12/1/17 17:50,/jimcramer/status/936653842158145537,jimcramer,0.0772,12/1/17
18,Jim Cramer,9.36699E+17,16,2,2,Magellan Midstream Partners support has held but resistance needs to be broken: Kamichhttps://realmoney.thestreet.com/articles/12/01/2017/magellan-midstream-partners-support-has-held-resistance-needs-be-broken …,12/1/17 20:50,/jimcramer/status/936699084521508865,jimcramer,-0.5106,12/1/17
19,Jim Cramer,9.36715E+17,26,9,0,"i know,  i was working on a piece outside -there's a picnic table in the back of CNBC i like to write on, and when i came in the darned thing had plummeted and recovered!https://twitter.com/KboltonPorter/status/936702692411416576 …",12/1/17 21:51,/jimcramer/status/936714500606226432,jimcramer,0.4199,12/1/17
20,Jim Cramer,9.36717E+17,10,4,0,check the club!https://twitter.com/sffdny343/status/936663199771848705 …,12/1/17 22:00,/jimcramer/status/936716537699893248,jimcramer,0,12/1/17
21,Jim Cramer,9.36746E+17,22,8,2,wasn't it funny?https://twitter.com/TonySetlak/status/936745954363035649 …,12/1/17 23:57,/jimcramer/status/936746197146062850,jimcramer,0,12/1/17
22,Jim Cramer,9.36747E+17,13,0,0,thank you so much!https://twitter.com/chrtsn123/status/936679828547235840 …,12/2/17 0:00,/jimcramer/status/936746938254483457,jimcramer,0.4199,12/2/17
23,Jim Cramer,9.36747E+17,36,5,0,agreed!  We will!https://twitter.com/redarizona13/status/936746617797038080 …,12/2/17 0:01,/jimcramer/status/936747206052339712,jimcramer,0.3987,12/2/17
24,Jim Cramer,9.37457E+17,89,4,24,"This is a great read, thank you !!https://twitter.com/ElizabethOpondo/status/937178876500996096 …",12/3/17 23:02,/jimcramer/status/937456973934682113,jimcramer,0.8011,12/3/17
25,Jim Cramer,9.37457E+17,38,8,12,"We nailed this one at the #DealEconomy conference where i said they had to come back and do this acquisition... $FOXA, $DIShttps://twitter.com/nytimesbusiness/status/937456689581785089 …",12/3/17 23:03,/jimcramer/status/937457231058137088,jimcramer,0,12/3/17
26,Jim Cramer,9.375E+17,21,16,0,earlyhttps://twitter.com/illini__jeff/status/937498998008455168 …,12/4/17 1:53,/jimcramer/status/937500182576599040,jimcramer,0,12/4/17
27,Jim Cramer,9.375E+17,36,29,3,Go Birds! https://twitter.com/eatspiroshiki/status/937500279779442688 …,12/4/17 1:54,/jimcramer/status/937500378748407808,jimcramer,0,12/4/17
28,Jim Cramer,9.37619E+17,86,39,5,Brutal night; on to the next,12/4/17 9:44,/jimcramer/status/937618685048614912,jimcramer,-0.6249,12/4/17
29,Jim Cramer,9.37621E+17,35,10,6,Barclays takes Blue Apron from a sell to a hold.. Good work not biting on this one all the way down...,12/4/17 9:54,/jimcramer/status/937621220425633794,jimcramer,0.4404,12/4/17
30,Jim Cramer,9.37662E+17,7,1,0,Suboptimalhttps://twitter.com/runyanmichael1/status/937659607098580992 …,12/4/17 12:36,/jimcramer/status/937661844776419328,jimcramer,0,12/4/17
31,Jim Cramer,9.37678E+17,37,12,4,Ken Langone--sad what happened to $GE--ouch!!,12/4/17 13:41,/jimcramer/status/937678299618213889,jimcramer,0,12/4/17
32,Jim Cramer,9.3768E+17,30,3,1,well-played!https://twitter.com/AustinHorton6/status/937679029905362944 …,12/4/17 13:50,/jimcramer/status/937680458611089408,jimcramer,0,12/4/17
33,Jim Cramer,9.37682E+17,18,9,1,We have to stay focused together....https://twitter.com/jfahmy/status/937681078172770305 …,12/4/17 13:54,/jimcramer/status/937681506335711232,jimcramer,0.3818,12/4/17
34,Jim Cramer,9.3769E+17,70,5,4,Ken Langone was congratulating my wife for joining the Bucknell board!!! Very proud!!,12/4/17 14:26,/jimcramer/status/937689546883465217,jimcramer,0.6768,12/4/17
35,Jim Cramer,9.37704E+17,98,8,7,One of my heroes!https://twitter.com/JayWoods3/status/937700019796398080 …,12/4/17 15:22,/jimcramer/status/937703722649563136,jimcramer,0,12/4/17
36,Jim Cramer,9.37738E+17,7,4,2,Kamich -- Macy's stock: Is it finally safe to come out of the dressing room?http://bit.ly/2iOhkf5 ,12/4/17 17:39,/jimcramer/status/937738110162685952,jimcramer,0.4404,12/4/17
37,Jim Cramer,9.37744E+17,9,2,1,XPO Logistics stockholders should consider booking some profits: Kamichhttp://bit.ly/2iO78mD ,12/4/17 18:01,/jimcramer/status/937743803473186816,jimcramer,0.4404,12/4/17
38,Jim Cramer,9.37776E+17,14,0,1,Kamich - Union Pacific is still steaming ahead:http://bit.ly/2iPgcYj ,12/4/17 20:08,/jimcramer/status/937775544376201216,jimcramer,0,12/4/17
39,Jim Cramer,9.37785E+17,102,35,17,watch tonight's show about the rise and temporary fall of tech...,12/4/17 20:46,/jimcramer/status/937785122014756864,jimcramer,0,12/4/17
40,Jim Cramer,9.37789E+17,53,13,7,Can you believe all the second guessers today on @Eagles play? Go have a Tostito! @PEP!pic.twitter.com/te3NY13Mrj,12/4/17 21:01,/jimcramer/status/937788955323400193,jimcramer,0.4559,12/4/17
